class,A_mean,A_std,B_mean,B_std,C′_mean,C′_std,D′_mean,D′_std,delta_Dp_A,delta_Dp_B,delta_Cp_B
road,98.44,0.02,98.44,0.06,98.42,0.03,98.48,0.01,+0.04,+0.04,-0.02
sidewalk,87.52,0.05,87.07,0.27,86.87,0.14,87.45,0.11,-0.07,+0.39,-0.20
building,93.39,0.05,93.27,0.08,93.29,0.05,93.48,0.09,+0.09,+0.21,+0.01
wall,57.76,1.91,57.92,1.58,57.00,0.84,59.23,0.92,+1.47,+1.31,-0.92
fence,66.76,0.66,66.07,1.27,65.51,0.19,66.86,0.25,+0.10,+0.79,-0.56
pole,70.11,0.05,69.75,0.25,69.85,0.17,70.13,0.24,+0.02,+0.37,+0.10
traffic light,74.59,0.30,76.85,0.14,77.18,0.31,75.02,0.32,+0.43,-1.83,+0.33
traffic sign,82.73,0.42,83.52,0.16,83.77,0.15,82.69,0.21,-0.04,-0.82,+0.25
vegetation,93.11,0.02,93.09,0.04,93.13,0.08,93.17,0.01,+0.06,+0.08,+0.03
terrain,66.91,0.36,66.10,0.65,66.67,0.30,66.72,0.16,-0.18,+0.63,+0.57
sky,95.42,0.13,95.60,0.03,95.52,0.05,95.41,0.11,-0.01,-0.19,-0.08
person,84.72,0.24,84.90,0.26,84.92,0.16,84.90,0.13,+0.18,+0.00,+0.03
rider,67.95,1.06,68.49,0.96,67.75,0.57,68.54,0.15,+0.59,+0.05,-0.74
car,95.78,0.10,95.46,0.19,95.47,0.27,95.88,0.13,+0.10,+0.42,+0.01
truck,85.85,0.78,80.24,4.40,80.99,4.59,85.79,0.61,-0.07,+5.54,+0.75
bus,90.89,0.71,89.75,2.03,88.84,1.76,92.34,0.58,+1.45,+2.59,-0.91
train,82.77,1.22,83.74,1.54,81.60,1.12,82.89,0.32,+0.13,-0.85,-2.14
motorcycle,70.18,1.01,70.70,0.82,70.25,0.62,72.43,0.98,+2.25,+1.73,-0.44
bicycle,79.50,0.14,79.81,0.06,79.90,0.16,79.80,0.07,+0.30,-0.01,+0.09
